"","num_thefts","x_repr","y_repr","hour","day"
"1",0,-122.529525,47.4724345,0,1
"2",0,-122.485575,47.4724345,0,1
"3",0,-122.441625,47.4724345,0,1
"4",0,-122.397675,47.4724345,0,1
"5",0,-122.353725,47.4724345,0,1
"6",0,-122.309775,47.4724345,0,1
"7",1,-122.265825,47.4724345,0,1
"8",0,-122.221875,47.4724345,0,1
"9",0,-122.177925,47.4724345,0,1
"10",0,-122.133975,47.4724345,0,1
"11",0,-122.529525,47.5020635,0,1
"12",0,-122.485575,47.5020635,0,1
"13",0,-122.441625,47.5020635,0,1
"14",1,-122.397675,47.5020635,0,1
"15",0,-122.353725,47.5020635,0,1
"16",1,-122.309775,47.5020635,0,1
"17",6,-122.265825,47.5020635,0,1
"18",0,-122.221875,47.5020635,0,1
"19",0,-122.177925,47.5020635,0,1
"20",0,-122.133975,47.5020635,0,1
"21",0,-122.529525,47.5316925,0,1
"22",0,-122.485575,47.5316925,0,1
"23",0,-122.441625,47.5316925,0,1
"24",11,-122.397675,47.5316925,0,1
"25",27,-122.353725,47.5316925,0,1
"26",24,-122.309775,47.5316925,0,1
"27",32,-122.265825,47.5316925,0,1
"28",0,-122.221875,47.5316925,0,1
"29",0,-122.177925,47.5316925,0,1
"30",0,-122.133975,47.5316925,0,1
"31",0,-122.529525,47.5613215,0,1
"32",0,-122.485575,47.5613215,0,1
"33",0,-122.441625,47.5613215,0,1
"34",21,-122.397675,47.5613215,0,1
"35",9,-122.353725,47.5613215,0,1
"36",19,-122.309775,47.5613215,0,1
"37",18,-122.265825,47.5613215,0,1
"38",0,-122.221875,47.5613215,0,1
"39",0,-122.177925,47.5613215,0,1
"40",0,-122.133975,47.5613215,0,1
"41",0,-122.529525,47.5909505,0,1
"42",0,-122.485575,47.5909505,0,1
"43",0,-122.441625,47.5909505,0,1
"44",13,-122.397675,47.5909505,0,1
"45",43,-122.353725,47.5909505,0,1
"46",68,-122.309775,47.5909505,0,1
"47",1,-122.265825,47.5909505,0,1
"48",0,-122.221875,47.5909505,0,1
"49",0,-122.177925,47.5909505,0,1
"50",0,-122.133975,47.5909505,0,1
"51",0,-122.529525,47.6205795,0,1
"52",0,-122.485575,47.6205795,0,1
"53",0,-122.441625,47.6205795,0,1
"54",0,-122.397675,47.6205795,0,1
"55",159,-122.353725,47.6205795,0,1
"56",85,-122.309775,47.6205795,0,1
"57",3,-122.265825,47.6205795,0,1
"58",0,-122.221875,47.6205795,0,1
"59",0,-122.177925,47.6205795,0,1
"60",0,-122.133975,47.6205795,0,1
"61",0,-122.529525,47.6502085,0,1
"62",0,-122.485575,47.6502085,0,1
"63",0,-122.441625,47.6502085,0,1
"64",7,-122.397675,47.6502085,0,1
"65",37,-122.353725,47.6502085,0,1
"66",59,-122.309775,47.6502085,0,1
"67",2,-122.265825,47.6502085,0,1
"68",0,-122.221875,47.6502085,0,1
"69",0,-122.177925,47.6502085,0,1
"70",0,-122.133975,47.6502085,0,1
"71",0,-122.529525,47.6798375,0,1
"72",0,-122.485575,47.6798375,0,1
"73",0,-122.441625,47.6798375,0,1
"74",32,-122.397675,47.6798375,0,1
"75",35,-122.353725,47.6798375,0,1
"76",43,-122.309775,47.6798375,0,1
"77",8,-122.265825,47.6798375,0,1
"78",0,-122.221875,47.6798375,0,1
"79",0,-122.177925,47.6798375,0,1
"80",0,-122.133975,47.6798375,0,1
"81",0,-122.529525,47.7094665,0,1
"82",0,-122.485575,47.7094665,0,1
"83",0,-122.441625,47.7094665,0,1
"84",1,-122.397675,47.7094665,0,1
"85",36,-122.353725,47.7094665,0,1
"86",42,-122.309775,47.7094665,0,1
"87",4,-122.265825,47.7094665,0,1
"88",0,-122.221875,47.7094665,0,1
"89",0,-122.177925,47.7094665,0,1
"90",0,-122.133975,47.7094665,0,1
"91",0,-122.529525,47.7390955,0,1
"92",0,-122.485575,47.7390955,0,1
"93",0,-122.441625,47.7390955,0,1
"94",0,-122.397675,47.7390955,0,1
"95",10,-122.353725,47.7390955,0,1
"96",4,-122.309775,47.7390955,0,1
"97",1,-122.265825,47.7390955,0,1
"98",0,-122.221875,47.7390955,0,1
"99",0,-122.177925,47.7390955,0,1
"100",0,-122.133975,47.7390955,0,1
"101",0,-122.529525,47.4724345,1,1
"102",0,-122.485575,47.4724345,1,1
"103",0,-122.441625,47.4724345,1,1
"104",0,-122.397675,47.4724345,1,1
"105",0,-122.353725,47.4724345,1,1
"106",1,-122.309775,47.4724345,1,1
"107",0,-122.265825,47.4724345,1,1
"108",0,-122.221875,47.4724345,1,1
"109",0,-122.177925,47.4724345,1,1
"110",0,-122.133975,47.4724345,1,1
"111",0,-122.529525,47.5020635,1,1
"112",0,-122.485575,47.5020635,1,1
"113",0,-122.441625,47.5020635,1,1
"114",1,-122.397675,47.5020635,1,1
"115",1,-122.353725,47.5020635,1,1
"116",1,-122.309775,47.5020635,1,1
"117",3,-122.265825,47.5020635,1,1
"118",2,-122.221875,47.5020635,1,1
"119",0,-122.177925,47.5020635,1,1
"120",0,-122.133975,47.5020635,1,1
"121",0,-122.529525,47.5316925,1,1
"122",0,-122.485575,47.5316925,1,1
"123",0,-122.441625,47.5316925,1,1
"124",3,-122.397675,47.5316925,1,1
"125",20,-122.353725,47.5316925,1,1
"126",17,-122.309775,47.5316925,1,1
"127",27,-122.265825,47.5316925,1,1
"128",0,-122.221875,47.5316925,1,1
"129",0,-122.177925,47.5316925,1,1
"130",0,-122.133975,47.5316925,1,1
"131",0,-122.529525,47.5613215,1,1
"132",0,-122.485575,47.5613215,1,1
"133",0,-122.441625,47.5613215,1,1
"134",12,-122.397675,47.5613215,1,1
"135",14,-122.353725,47.5613215,1,1
"136",29,-122.309775,47.5613215,1,1
"137",13,-122.265825,47.5613215,1,1
"138",0,-122.221875,47.5613215,1,1
"139",0,-122.177925,47.5613215,1,1
"140",0,-122.133975,47.5613215,1,1
"141",0,-122.529525,47.5909505,1,1
"142",0,-122.485575,47.5909505,1,1
"143",0,-122.441625,47.5909505,1,1
"144",9,-122.397675,47.5909505,1,1
"145",46,-122.353725,47.5909505,1,1
